time,left,right,center
1740729525.4913933,0,0,1
1740729525.5413249,0,0,1
1740729525.5874336,0,0,1
1740729525.6337142,0,0,1
1740729525.6826384,0,0,1
1740729525.7428458,0,0,1
1740729525.7898264,0,0,1
1740729525.8367028,0,0,1
1740729525.8825872,0,0,1
1740729525.9294434,0,0,1
1740729525.9779794,0,0,1
1740729526.0238001,0,0,1
1740729526.068153,0,0,1
1740729526.11909,0,0,1
1740729526.1652782,0,0,1
1740729526.2275593,0,0,1
1740729526.2908323,0,0,1
1740729526.3516064,0,0,1
1740729526.3995402,0,0,1
1740729526.447882,0,0,1
1740729526.5027747,0,0,1
1740729526.549556,0,0,1
1740729526.597116,0,0,1
1740729526.660573,0,0,1
1740729526.7098577,0,0,1
1740729526.7592673,0,1,0
1740729526.8220706,0,1,0
1740729526.8819568,0,1,0
1740729526.931656,0,1,0
1740729526.993268,0,1,0
1740729527.0532713,0,1,0
1740729527.1003013,0,1,0
1740729527.1614137,0,1,0
1740729527.2238755,0,1,0
1740729527.2849638,0,1,0
1740729527.331813,0,1,0
1740729527.3938348,0,1,0
1740729527.4517274,0,0,1
1740729527.4996974,0,0,1
1740729527.5464296,0,0,1
1740729527.6072075,0,0,1
1740729527.6726172,0,0,1
1740729527.7339835,0,0,1
1740729527.7985356,0,0,1
1740729527.8608902,0,0,1
1740729527.9280517,0,0,1
1740729527.986887,0,0,1
1740729528.0450528,0,0,1
1740729528.1027951,0,0,1
1740729528.1643836,0,0,1
1740729528.2260153,0,0,1
1740729528.2878883,0,0,1
1740729528.351612,0,0,1
1740729528.4119465,0,0,1
1740729528.5220928,0,0,1
1740729528.5894144,0,0,1
1740729528.6514025,0,0,1
1740729528.7137518,0,0,1
1740729528.7772996,0,0,1
1740729528.8406675,0,0,1
1740729528.9047472,0,0,1
1740729528.9698236,0,0,1
1740729529.030307,0,1,0
1740729529.0942013,0,1,0
1740729529.1524014,0,1,0
1740729529.2145605,0,1,0
1740729529.2780557,0,1,0
1740729529.3400822,0,1,0
1740729529.4051006,0,1,0
1740729529.461478,0,1,0
1740729529.5173044,0,1,0
1740729529.5688312,0,1,0
1740729529.6175673,0,1,0
1740729529.6699693,0,1,0
1740729529.7354553,0,1,0
1740729529.7976172,0,1,0
1740729529.8619313,0,1,0
1740729529.9294093,0,1,0
1740729529.9858994,0,1,0
1740729530.0486887,0,1,0
1740729530.1125684,0,1,0
1740729530.1707594,0,1,0
1740729530.2367516,0,1,0
1740729530.2947156,0,1,0
1740729530.3557987,0,1,0
1740729530.4057062,0,1,0
1740729530.4645295,0,1,0
1740729530.527265,0,1,0
1740729530.587484,0,1,0
1740729530.6488109,0,1,0
1740729530.7073982,0,1,0
1740729530.7671347,0,1,0
1740729530.8327587,0,1,0
1740729530.8976607,0,1,0
1740729530.9524572,0,1,0
1740729531.0205617,0,1,0
1740729531.0845468,0,1,0
1740729531.1420388,0,1,0
1740729531.205329,0,1,0
1740729531.2676694,0,1,0
1740729531.3305466,0,1,0
1740729531.3942974,0,1,0
1740729531.4529617,0,1,0
1740729531.5162618,0,1,0
1740729531.574867,0,0,1
1740729531.6377773,0,0,1
1740729531.698371,0,0,1
1740729531.757239,0,0,1
1740729531.8198533,0,0,1
1740729531.8818285,0,0,1
1740729531.946173,0,0,1
1740729532.0092897,0,0,1
1740729532.0708694,0,0,1
1740729532.1325037,0,0,1
1740729532.1967492,0,0,1
1740729532.2626085,0,0,1
1740729532.3175235,0,0,1
1740729532.3730342,0,0,1
1740729532.4244437,0,0,1
1740729532.4808724,0,0,1
1740729532.5390997,0,0,1
1740729532.6007473,0,0,1
1740729532.6652849,0,0,1
1740729532.7272167,0,0,1
1740729532.7864494,0,0,1
1740729532.855978,0,0,1
1740729532.9192567,0,0,1
1740729532.9855077,0,0,1
1740729533.0470016,0,0,1
1740729533.123837,0,0,1
1740729533.18686,0,0,1
1740729533.2578337,0,0,1
1740729533.3179216,0,0,1
1740729533.384405,0,0,1
1740729533.4442992,0,0,1
1740729533.5098588,0,0,1
1740729533.569759,0,0,1
1740729533.630751,0,0,1
1740729533.6921237,0,0,1
1740729533.7539554,0,0,1
1740729533.816808,0,0,1
1740729533.8807085,0,0,1
1740729533.9414964,0,0,1
1740729534.0041533,0,0,1
1740729534.0683627,0,0,1
1740729534.1309712,0,0,1
1740729534.1932685,0,0,1
1740729534.2548435,0,1,0
1740729534.318176,0,1,0
1740729534.3841872,0,1,0
1740729534.4411962,0,1,0
1740729534.496907,0,1,0
1740729534.5560977,0,1,0
1740729534.6165602,0,1,0
1740729534.680356,0,1,0
1740729534.7421813,0,1,0
1740729534.8043222,0,1,0
1740729534.8682792,0,1,0
1740729534.9317563,0,1,0
1740729534.9937973,0,1,0
1740729535.0545864,0,1,0
1740729535.116061,0,1,0
1740729535.1806574,0,1,0
1740729535.2405522,0,1,0
1740729535.2961917,0,1,0
